-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2010 through 01/01/2020 in LST
Location: Latitude  40.7128   Longitude -74.006 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 10.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,T2M
2010,1,1,0,1.27
2010,1,1,1,1.35
2010,1,1,2,1.39
2010,1,1,3,1.38
2010,1,1,4,1.4
2010,1,1,5,1.37
2010,1,1,6,1.3
2010,1,1,7,1.3
2010,1,1,8,1.99
2010,1,1,9,2.66
2010,1,1,10,3.13
2010,1,1,11,3.65
2010,1,1,12,4.17
2010,1,1,13,4.6
2010,1,1,14,4.69
2010,1,1,15,4.19
2010,1,1,16,3.69
2010,1,1,17,3.58
2010,1,1,18,3.46
2010,1,1,19,3.25
2010,1,1,20,3.01
2010,1,1,21,2.83
2010,1,1,22,2.63
2010,1,1,23,2.26
2010,1,2,0,1.79
2010,1,2,1,1.32
2010,1,2,2,0.98
2010,1,2,3,0.81
2010,1,2,4,0.63
2010,1,2,5,0.33
2010,1,2,6,-0.1
2010,1,2,7,-0.62
2010,1,2,8,-0.93
2010,1,2,9,-1.04
2010,1,2,10,-1.05
2010,1,2,11,-1.07
2010,1,2,12,-1.24
2010,1,2,13,-1.62
2010,1,2,14,-2.1
2010,1,2,15,-2.71
2010,1,2,16,-3.39
2010,1,2,17,-4.15
2010,1,2,18,-5.0
2010,1,2,19,-5.72
2010,1,2,20,-6.2
2010,1,2,21,-6.49
2010,1,2,22,-6.67
2010,1,2,23,-6.77
2010,1,3,0,-6.76
2010,1,3,1,-6.65
2010,1,3,2,-6.58
2010,1,3,3,-6.51
2010,1,3,4,-6.43
2010,1,3,5,-6.38
2010,1,3,6,-6.36
2010,1,3,7,-6.17
2010,1,3,8,-6.02
2010,1,3,9,-5.78
2010,1,3,10,-5.63
2010,1,3,11,-5.37
2010,1,3,12,-5.0
2010,1,3,13,-4.54
2010,1,3,14,-4.21
2010,1,3,15,-4.21
2010,1,3,16,-4.55
2010,1,3,17,-4.97
2010,1,3,18,-5.26
2010,1,3,19,-5.29
2010,1,3,20,-5.12
2010,1,3,21,-4.86
2010,1,3,22,-4.66
2010,1,3,23,-4.58
2010,1,4,0,-4.5
2010,1,4,1,-4.43
2010,1,4,2,-4.44
2010,1,4,3,-4.61
2010,1,4,4,-4.72
2010,1,4,5,-4.7
2010,1,4,6,-4.68
2010,1,4,7,-4.67
2010,1,4,8,-4.24
2010,1,4,9,-3.58
2010,1,4,10,-2.61
2010,1,4,11,-1.64
2010,1,4,12,-0.92
2010,1,4,13,-0.44
2010,1,4,14,-0.22
2010,1,4,15,-0.3
2010,1,4,16,-0.76
2010,1,4,17,-1.43
2010,1,4,18,-2.17
2010,1,4,19,-2.92
2010,1,4,20,-3.52
2010,1,4,21,-3.93
2010,1,4,22,-4.21
2010,1,4,23,-4.39
2010,1,5,0,-4.52
2010,1,5,1,-4.62
2010,1,5,2,-4.69
2010,1,5,3,-4.7
2010,1,5,4,-4.65
2010,1,5,5,-4.59
2010,1,5,6,-4.56
2010,1,5,7,-4.49
2010,1,5,8,-3.76
2010,1,5,9,-3.01
2010,1,5,10,-2.27
2010,1,5,11,-1.46
2010,1,5,12,-0.7
2010,1,5,13,-0.18
2010,1,5,14,-0.01
2010,1,5,15,-0.22
2010,1,5,16,-0.83
2010,1,5,17,-1.45
2010,1,5,18,-1.95
2010,1,5,19,-2.39
2010,1,5,20,-2.7
2010,1,5,21,-2.88
2010,1,5,22,-2.92
2010,1,5,23,-2.97
2010,1,6,0,-3.1
2010,1,6,1,-3.05
2010,1,6,2,-3.0
2010,1,6,3,-2.94
2010,1,6,4,-2.8
2010,1,6,5,-2.72
2010,1,6,6,-2.68
2010,1,6,7,-2.67
2010,1,6,8,-2.3
2010,1,6,9,-1.87
2010,1,6,10,-1.26
2010,1,6,11,-0.42
2010,1,6,12,0.46
2010,1,6,13,1.17
2010,1,6,14,1.46
2010,1,6,15,1.21
2010,1,6,16,0.37
2010,1,6,17,-0.31
2010,1,6,18,-0.81
2010,1,6,19,-1.22
2010,1,6,20,-1.52
2010,1,6,21,-1.7
2010,1,6,22,-1.76
2010,1,6,23,-1.71
2010,1,7,0,-1.68
2010,1,7,1,-1.62
2010,1,7,2,-1.55
2010,1,7,3,-1.5
2010,1,7,4,-1.5
2010,1,7,5,-1.51
2010,1,7,6,-1.52
2010,1,7,7,-1.4
2010,1,7,8,-0.42
2010,1,7,9,0.56
2010,1,7,10,1.39
2010,1,7,11,2.12
2010,1,7,12,2.72
2010,1,7,13,3.16
2010,1,7,14,3.33
2010,1,7,15,2.99
2010,1,7,16,1.89
2010,1,7,17,1.49
2010,1,7,18,1.47
2010,1,7,19,1.06
2010,1,7,20,0.62
2010,1,7,21,0.31
2010,1,7,22,0.34
2010,1,7,23,0.2
2010,1,8,0,0.26
2010,1,8,1,0.38
2010,1,8,2,0.27
2010,1,8,3,0.18
2010,1,8,4,0.11
2010,1,8,5,-0.06
2010,1,8,6,-0.21
2010,1,8,7,-0.4
2010,1,8,8,-0.42
2010,1,8,9,-0.37
2010,1,8,10,-0.11
2010,1,8,11,0.23
2010,1,8,12,0.51
2010,1,8,13,0.79
2010,1,8,14,1.08
2010,1,8,15,1.12
2010,1,8,16,0.88
2010,1,8,17,0.13
2010,1,8,18,-1.44
2010,1,8,19,-2.63
2010,1,8,20,-3.2
2010,1,8,21,-3.58
2010,1,8,22,-3.81
2010,1,8,23,-4.0
2010,1,9,0,-4.17
2010,1,9,1,-4.35
2010,1,9,2,-4.52
2010,1,9,3,-4.7
2010,1,9,4,-4.88
2010,1,9,5,-5.02
2010,1,9,6,-5.12
2010,1,9,7,-5.13
2010,1,9,8,-4.54
2010,1,9,9,-3.98
2010,1,9,10,-3.26
2010,1,9,11,-2.41
2010,1,9,12,-1.61
2010,1,9,13,-0.93
2010,1,9,14,-0.55
2010,1,9,15,-0.71
2010,1,9,16,-1.57
2010,1,9,17,-2.43
2010,1,9,18,-3.26
2010,1,9,19,-4.08
2010,1,9,20,-4.8
2010,1,9,21,-5.42
2010,1,9,22,-5.94
2010,1,9,23,-6.32
2010,1,10,0,-6.61
2010,1,10,1,-6.81
2010,1,10,2,-6.98
2010,1,10,3,-7.09
2010,1,10,4,-7.25
2010,1,10,5,-7.42
2010,1,10,6,-7.59
2010,1,10,7,-7.59
2010,1,10,8,-6.83
2010,1,10,9,-5.91
2010,1,10,10,-4.81
2010,1,10,11,-3.7
2010,1,10,12,-2.76
2010,1,10,13,-1.95
2010,1,10,14,-1.35
2010,1,10,15,-1.19
2010,1,10,16,-1.89
2010,1,10,17,-2.35
2010,1,10,18,-2.66
2010,1,10,19,-3.05
2010,1,10,20,-3.42
2010,1,10,21,-3.62
2010,1,10,22,-3.6
2010,1,10,23,-3.59
2010,1,11,0,-3.65
2010,1,11,1,-3.76
2010,1,11,2,-3.87
2010,1,11,3,-3.96
2010,1,11,4,-4.14
2010,1,11,5,-4.42
2010,1,11,6,-4.68
2010,1,11,7,-4.71
2010,1,11,8,-3.8
2010,1,11,9,-3.1
2010,1,11,10,-2.39
2010,1,11,11,-1.73
2010,1,11,12,-1.08
2010,1,11,13,-0.6
2010,1,11,14,-0.25
2010,1,11,15,-0.17
2010,1,11,16,-0.77
2010,1,11,17,-1.0
2010,1,11,18,-1.01
2010,1,11,19,-0.97
2010,1,11,20,-0.91
2010,1,11,21,-0.87
2010,1,11,22,-0.78
2010,1,11,23,-0.8
2010,1,12,0,-0.91
2010,1,12,1,-1.09
2010,1,12,2,-1.52
2010,1,12,3,-1.82
2010,1,12,4,-2.07
2010,1,12,5,-2.22
2010,1,12,6,-2.35
2010,1,12,7,-2.33
2010,1,12,8,-1.41
2010,1,12,9,-0.56
2010,1,12,10,0.26
2010,1,12,11,0.91
2010,1,12,12,1.43
2010,1,12,13,1.78
2010,1,12,14,1.75
2010,1,12,15,1.23
2010,1,12,16,0.23
2010,1,12,17,-0.63
2010,1,12,18,-1.35
2010,1,12,19,-2.11
2010,1,12,20,-2.77
2010,1,12,21,-3.3
2010,1,12,22,-3.76
2010,1,12,23,-3.99
2010,1,13,0,-4.19
2010,1,13,1,-4.27
2010,1,13,2,-3.82
2010,1,13,3,-3.48
2010,1,13,4,-3.33
2010,1,13,5,-3.36
2010,1,13,6,-3.31
2010,1,13,7,-3.51
2010,1,13,8,-2.63
2010,1,13,9,-1.8
2010,1,13,10,-0.97
2010,1,13,11,-0.1
2010,1,13,12,0.7
2010,1,13,13,1.35
2010,1,13,14,1.77
2010,1,13,15,1.85
2010,1,13,16,1.29
2010,1,13,17,1.06
2010,1,13,18,0.93
2010,1,13,19,0.52
2010,1,13,20,0.09
2010,1,13,21,-0.23
2010,1,13,22,-0.46
2010,1,13,23,-0.65
2010,1,14,0,-0.82
2010,1,14,1,-0.99
2010,1,14,2,-1.24
2010,1,14,3,-1.47
2010,1,14,4,-1.63
2010,1,14,5,-1.78
2010,1,14,6,-1.85
2010,1,14,7,-1.71
2010,1,14,8,-0.53
2010,1,14,9,0.42
2010,1,14,10,1.93
2010,1,14,11,2.9
2010,1,14,12,3.28
2010,1,14,13,3.49
2010,1,14,14,3.57
2010,1,14,15,3.19
2010,1,14,16,2.22
2010,1,14,17,2.0
2010,1,14,18,2.16
2010,1,14,19,2.31
2010,1,14,20,2.32
2010,1,14,21,2.19
2010,1,14,22,2.17
2010,1,14,23,2.13
2010,1,15,0,1.98
2010,1,15,1,1.85
2010,1,15,2,1.63
2010,1,15,3,1.37
2010,1,15,4,1.23
2010,1,15,5,1.22
2010,1,15,6,1.18
2010,1,15,7,1.31
2010,1,15,8,1.94
2010,1,15,9,2.58
2010,1,15,10,3.55
2010,1,15,11,4.56
2010,1,15,12,5.48
2010,1,15,13,5.91
2010,1,15,14,5.86
2010,1,15,15,5.55
2010,1,15,16,4.78
2010,1,15,17,4.6
2010,1,15,18,4.48
2010,1,15,19,3.93
2010,1,15,20,3.25
2010,1,15,21,2.68
2010,1,15,22,2.33
2010,1,15,23,2.2
2010,1,16,0,2.17
2010,1,16,1,2.23
2010,1,16,2,2.24
2010,1,16,3,2.22
2010,1,16,4,2.11
2010,1,16,5,1.99
2010,1,16,6,1.71
2010,1,16,7,1.54
2010,1,16,8,2.41
2010,1,16,9,3.25
2010,1,16,10,4.48
2010,1,16,11,5.34
2010,1,16,12,5.92
2010,1,16,13,6.38
2010,1,16,14,6.6
2010,1,16,15,5.97
2010,1,16,16,4.72
2010,1,16,17,4.26
2010,1,16,18,4.03
2010,1,16,19,3.77
2010,1,16,20,3.49
2010,1,16,21,3.3
2010,1,16,22,3.07
2010,1,16,23,2.93
2010,1,17,0,2.89
2010,1,17,1,2.87
2010,1,17,2,2.58
2010,1,17,3,2.48
2010,1,17,4,2.58
2010,1,17,5,2.8
2010,1,17,6,3.03
2010,1,17,7,3.35
2010,1,17,8,3.93
2010,1,17,9,4.25
2010,1,17,10,4.5
2010,1,17,11,4.65
2010,1,17,12,4.69
2010,1,17,13,4.63
2010,1,17,14,4.52
2010,1,17,15,3.99
2010,1,17,16,3.5
2010,1,17,17,3.27
2010,1,17,18,3.24
2010,1,17,19,3.31
2010,1,17,20,3.49
2010,1,17,21,3.65
2010,1,17,22,4.07
2010,1,17,23,4.11
2010,1,18,0,3.86
2010,1,18,1,3.45
2010,1,18,2,2.67
2010,1,18,3,2.5
2010,1,18,4,2.73
2010,1,18,5,2.85
2010,1,18,6,2.83
2010,1,18,7,2.76
2010,1,18,8,2.94
2010,1,18,9,3.41
2010,1,18,10,4.26
2010,1,18,11,5.26
2010,1,18,12,6.17
2010,1,18,13,6.75
2010,1,18,14,6.92
2010,1,18,15,6.36
2010,1,18,16,4.81
2010,1,18,17,4.15
2010,1,18,18,3.93
2010,1,18,19,3.77
2010,1,18,20,3.68
2010,1,18,21,3.68
2010,1,18,22,3.7
2010,1,18,23,3.85
2010,1,19,0,4.02
2010,1,19,1,4.24
2010,1,19,2,4.15
